,precision,recall,f1
Water-Water,98.9317159037996,99.90432981849405,99.4156440725735
"Sunflower-Straw cereals (Wheat, Triticale, Barley)",99.16568669471378,97.14547001188444,98.14518343862882
"Straw cereals (Wheat, Triticale, Barley)-Sunflower",98.86994207286814,96.7230895474866,97.78473375504085
"Oilseeds (Rapeseed)-Straw cereals (Wheat, Triticale, Barley)",96.45834531414964,97.81593634304029,97.13239739733376
"Straw cereals (Wheat, Triticale, Barley)-Oilseeds (Rapeseed)",95.85657863563543,96.39809561474225,96.12657448927426
Oilseeds (Rapeseed)-Corn,93.94590470058841,97.67727526521497,95.7752605411999
Corn-Corn,93.4888331197362,98.02012983512634,95.70087393445756
Hardwood forest-Hardwood forest,96.49871474331711,93.69266401490358,95.0749893853939
"Corn-Straw cereals (Wheat, Triticale, Barley)",93.61888545620202,95.02060618707287,94.31453794869887
Corn-Sunflower,95.07259919904413,93.25766329096717,94.15638598997633
"Straw cereals (Wheat, Triticale, Barley)-Corn",94.53217176659983,93.10201017599466,93.81164057267034
Soy-Soy,90.21587209294793,96.83758282197468,93.40952285143345
Tubers/roots-Corn,86.88471502590673,100.0,92.9821521400104
Soy-Protein crops (Beans / Peas),90.43869216192579,95.15928837401738,92.7389572101407
"Protein crops (Beans / Peas)-Straw cereals (Wheat, Triticale, Barley)",89.37458643284707,95.33880017263702,92.26040400236265
Sunflower-Tubers/roots,87.57091947664321,97.32620320855615,92.19121401531825
Corn-Soy,88.67804997661928,95.60349615598234,92.01064119528661
"Straw cereals (Wheat, Triticale, Barley)-Tubers/roots",86.4181546522471,97.69000176335744,91.70902413803735
"Soy-Straw cereals (Wheat, Triticale, Barley)",88.21348557181577,95.16406648031615,91.55705168351427
Soy-Corn,90.33322705129278,92.32881384838407,91.32011953510782
"Straw cereals (Wheat, Triticale, Barley)-Soy",95.73188826129304,86.7036430449084,90.99437383051118
Softwood forest-Softwood forest,85.67921439034286,96.72970843183609,90.86973705475928
Oilseeds (Rapeseed)-Soy,96.57142997535753,85.78685258964144,90.86024403321484
"Tubers/roots-Straw cereals (Wheat, Triticale, Barley)",84.45649392970874,97.0965940815187,90.33652909427852
Corn-Tubers/roots,85.16895744553148,95.93023255813954,90.22986678536228
Soy-Sunflower,84.89226748577579,93.34912963918735,88.92007592757352
Orchards and fruit growing-Orchards and fruit growing,79.8144961948019,99.81222901232461,88.70019495721249
Oilseeds (Rapeseed)-Protein crops (Beans / Peas),83.61525912912536,94.17293233082707,88.58062028900736
Grasslands-Grasslands,83.4583723234792,92.53400580773345,87.76218142273241
Soy-Tubers/roots,78.2724852097353,99.80544747081711,87.73709682517763
Sunflower-Corn,89.6289376694149,85.309243470023,87.41575813578508
"Straw cereals (Wheat, Triticale, Barley)-Protein crops (Beans / Peas)",79.15911830289882,95.12844909609896,86.41217808416881
Oilseeds (Rapeseed)-Sunflower,92.98315177487407,80.48154726662719,86.2818540708285
