{'T': 1000,
 'batch_size': 2048,
 'd_k': 8,
 'd_model': 256,
 'dataset_folder': '../../../results/ltae',
 'dates': 'dates.txt',
 'device': 'cuda',
 'display_step': 100,
 'dropout': 0.2,
 'epochs': 2,
 'gamma': 1,
 'in_channels': 10,
 'len_max_seq': 33,
 'lr': 0.001,
 'mlp4': [128, 64, 32, 19],
 'n_head': 16,
 'n_neurons': [256, 128],
 'npy': '../../../data/theiaL2A_zip_img/output/2018/2018_SITS_data.npz',
 'num_classes': 19,
 'num_workers': 10,
 'positions': 'None',
 'preload': False,
 'res_dir': '../../../results/ltae/trials',
 'seed': 0}

Train 4146, Val 1388, Test 1348
TOTAL TRAINABLE PARAMETERS : 97319
RATIOS: Temporal  88.5% , Classifier  11.5%
EPOCH 1/2
Iteration 1 completed in 0.3502 second
Iteration 2 completed in 0.1375 second
Iteration 3 completed in 0.1373 second
Iteration 4 completed in 0.1471 second
Iteration 5 completed in 0.1360 second
Iteration 6 completed in 0.1347 second
Iteration 7 completed in 0.1337 second
Iteration 8 completed in 0.1373 second
Iteration 9 completed in 0.1306 second
Iteration 10 completed in 0.1106 second
Iteration 11 completed in 0.1373 second
Iteration 12 completed in 0.1369 second
Iteration 13 completed in 0.1352 second
Iteration 14 completed in 0.1390 second
Iteration 15 completed in 0.1498 second
Iteration 16 completed in 0.1496 second
Iteration 17 completed in 0.1444 second
Iteration 18 completed in 0.1402 second
Iteration 19 completed in 0.1560 second
Iteration 20 completed in 0.1503 second
Iteration 21 completed in 0.1617 second
Iteration 22 completed in 0.1520 second
Iteration 23 completed in 0.1530 second
Iteration 24 completed in 0.1076 second
Iteration 25 completed in 0.1160 second
Iteration 26 completed in 0.1370 second
Iteration 27 completed in 0.1410 second
Iteration 28 completed in 0.1395 second
Iteration 29 completed in 0.1356 second
Iteration 30 completed in 0.1330 second
Iteration 31 completed in 0.1309 second
Iteration 32 completed in 0.1396 second
Iteration 33 completed in 0.1329 second
Iteration 34 completed in 0.1370 second
Iteration 35 completed in 0.1418 second
Iteration 36 completed in 0.1345 second
Iteration 37 completed in 0.1384 second
Iteration 38 completed in 0.1395 second
Iteration 39 completed in 0.1419 second
Iteration 40 completed in 0.0920 second
Iteration 41 completed in 0.0920 second
Iteration 42 completed in 0.0958 second
Iteration 43 completed in 0.0925 second
Iteration 44 completed in 0.1371 second
Iteration 45 completed in 0.1370 second
Iteration 46 completed in 0.1337 second
Iteration 47 completed in 0.1352 second
Iteration 48 completed in 0.1338 second
Iteration 49 completed in 0.1348 second
Iteration 50 completed in 0.1378 second
Iteration 51 completed in 0.1349 second
Iteration 52 completed in 0.1321 second
Iteration 53 completed in 0.1358 second
Iteration 54 completed in 0.1410 second
Iteration 55 completed in 0.1395 second
Iteration 56 completed in 0.1383 second
Iteration 57 completed in 0.1398 second
Iteration 58 completed in 0.1016 second
Iteration 59 completed in 0.0760 second
Iteration 60 completed in 0.0730 second
Iteration 61 completed in 0.0771 second
Iteration 62 completed in 0.0813 second
Iteration 63 completed in 0.1368 second
Iteration 64 completed in 0.1427 second
