{'T': 1000,
 'batch_size': 2048,
 'd_k': 8,
 'd_model': 256,
 'dataset_folder': '../../../results/ltae',
 'dates': 'dates.txt',
 'device': 'cuda',
 'display_step': 100,
 'dropout': 0.2,
 'epochs': 100,
 'factor': 3,
 'gamma': 1,
 'in_channels': 10,
 'len_max_seq': 33,
 'lr': 0.001,
 'mlp4': [128, 64, 32, 19],
 'n_head': 16,
 'n_neurons': [256, 128],
 'npy': '../../../data/theiaL2A_zip_img/output/2018/2018_SITS_data.npz',
 'num_classes': 19,
 'num_workers': 10,
 'positions': 'None',
 'preload': False,
 'res_dir': '../../../results/ltae/trials',
 'seed': 1}
Train 5388, Val 712, Test 782, stop itr at 1796 
TOTAL TRAINABLE PARAMETERS : 97319
RATIOS: Temporal  88.5% , Classifier  11.5%

EPOCH 1/100
Iteration 1 completed in 0.2853 second
Iteration 2 completed in 0.1117 second
Iteration 3 completed in 0.0923 second
Iteration 4 completed in 0.0840 second
Iteration 5 completed in 0.0822 second
Iteration 6 completed in 0.0795 second
Iteration 7 completed in 0.0817 second
Iteration 8 completed in 0.0811 second
Iteration 9 completed in 0.0825 second
Iteration 10 completed in 0.0823 second
Iteration 11 completed in 0.0740 second
Iteration 12 completed in 0.0696 second
Iteration 13 completed in 0.0695 second
Iteration 14 completed in 0.0683 second
Iteration 15 completed in 0.0693 second
Iteration 16 completed in 0.0704 second
Iteration 17 completed in 0.0705 second
Iteration 18 completed in 0.0706 second
Iteration 19 completed in 0.0728 second
Iteration 20 completed in 0.0751 second
Iteration 21 completed in 0.0752 second
Iteration 22 completed in 0.0622 second
Iteration 23 completed in 0.0602 second
Iteration 24 completed in 0.0599 second
Iteration 25 completed in 0.0703 second
Iteration 26 completed in 0.0680 second
Iteration 27 completed in 0.0695 second
Iteration 28 completed in 0.0702 second
Iteration 29 completed in 0.0798 second
Iteration 30 completed in 0.0701 second
Iteration 31 completed in 0.0716 second
Iteration 32 completed in 0.0584 second
Iteration 33 completed in 0.0682 second
Iteration 34 completed in 0.0667 second
Iteration 35 completed in 0.0674 second
Iteration 36 completed in 0.0685 second
Iteration 37 completed in 0.0693 second
Iteration 38 completed in 0.0706 second
Iteration 39 completed in 0.0709 second
Iteration 40 completed in 0.0757 second
Iteration 41 completed in 0.0764 second
Iteration 42 completed in 0.0625 second
Iteration 43 completed in 0.0622 second
Iteration 44 completed in 0.0596 second
Iteration 45 completed in 0.0601 second
Iteration 46 completed in 0.0630 second
Iteration 47 completed in 0.0612 second
Iteration 48 completed in 0.0798 second
Iteration 49 completed in 0.0711 second
Iteration 50 completed in 0.0706 second
Iteration 51 completed in 0.0709 second
Iteration 52 completed in 0.0692 second
Iteration 53 completed in 0.0684 second
Iteration 54 completed in 0.0688 second
Iteration 55 completed in 0.0694 second
Iteration 56 completed in 0.0695 second
Iteration 57 completed in 0.0712 second
Iteration 58 completed in 0.0710 second
Iteration 59 completed in 0.0721 second
Iteration 60 completed in 0.0722 second
Iteration 61 completed in 0.0715 second
Iteration 62 completed in 0.0681 second
Iteration 63 completed in 0.0684 second
Iteration 64 completed in 0.0675 second
Iteration 65 completed in 0.0685 second
Iteration 66 completed in 0.0701 second
Iteration 67 completed in 0.0719 second
Iteration 68 completed in 0.0710 second
Iteration 69 completed in 0.0732 second
Iteration 70 completed in 0.0718 second
Iteration 71 completed in 0.0722 second
Iteration 72 completed in 0.0604 second
Iteration 73 completed in 0.0611 second
Iteration 74 completed in 0.0613 second
Iteration 75 completed in 0.0602 second
Iteration 76 completed in 0.0699 second
Iteration 77 completed in 0.0685 second
Iteration 78 completed in 0.0690 second
Iteration 79 completed in 0.0708 second
Iteration 80 completed in 0.0702 second
Iteration 81 completed in 0.0713 second
Iteration 82 completed in 0.0648 second
Iteration 83 completed in 0.0666 second
Iteration 84 completed in 0.0584 second
Iteration 85 completed in 0.0679 second
Iteration 86 completed in 0.0689 second
Iteration 87 completed in 0.0643 second
Iteration 88 completed in 0.0730 second
Iteration 89 completed in 0.0714 second
Iteration 90 completed in 0.0705 second
Iteration 91 completed in 0.0723 second
Iteration 92 completed in 0.0731 second
Iteration 93 completed in 0.0762 second
Iteration 94 completed in 0.0760 second
Iteration 95 completed in 0.0766 second
Iteration 96 completed in 0.0757 second
Iteration 97 completed in 0.0763 second
Iteration 98 completed in 0.0761 second
Iteration 99 completed in 0.0767 second
Step [100/5388], Loss: 2.3584, Acc : 27.34
Iteration 100 completed in 0.0755 second
Iteration 101 completed in 0.0750 second
Iteration 102 completed in 0.0752 second
Iteration 103 completed in 0.0764 second
Iteration 104 completed in 0.0758 second
Iteration 105 completed in 0.0761 second
Iteration 106 completed in 0.0761 second
Iteration 107 completed in 0.0751 second
Iteration 108 completed in 0.0682 second
Iteration 109 completed in 0.0680 second
Iteration 110 completed in 0.0722 second
Iteration 111 completed in 0.0733 second
Iteration 112 completed in 0.0733 second
Iteration 113 completed in 0.0760 second
Iteration 114 completed in 0.0758 second
Iteration 115 completed in 0.0765 second
Iteration 116 completed in 0.0753 second
Iteration 117 completed in 0.0755 second
Iteration 118 completed in 0.0749 second
Iteration 119 completed in 0.0750 second
Iteration 120 completed in 0.0764 second
Iteration 121 completed in 0.0758 second
Iteration 122 completed in 0.0757 second
Iteration 123 completed in 0.0761 second
Iteration 124 completed in 0.0751 second
Iteration 125 completed in 0.0751 second
Iteration 126 completed in 0.0753 second
Iteration 127 completed in 0.0758 second
Iteration 128 completed in 0.0751 second
Iteration 129 completed in 0.0759 second
Iteration 130 completed in 0.0751 second
Iteration 131 completed in 0.0749 second
Iteration 132 completed in 0.0752 second
Iteration 133 completed in 0.2921 second
Iteration 134 completed in 0.0742 second
Iteration 135 completed in 0.0751 second
Iteration 136 completed in 0.0749 second
Iteration 137 completed in 0.0750 second
Iteration 138 completed in 0.0745 second
Iteration 139 completed in 0.0761 second
Iteration 140 completed in 0.0762 second
Iteration 141 completed in 0.0789 second
Iteration 142 completed in 0.0762 second
Iteration 143 completed in 0.0756 second
Iteration 144 completed in 0.0763 second
Iteration 145 completed in 0.0783 second
Iteration 146 completed in 0.0761 second
Iteration 147 completed in 0.0763 second
Iteration 148 completed in 0.0767 second
Iteration 149 completed in 0.0777 second
Iteration 150 completed in 0.0773 second
Iteration 151 completed in 0.0772 second
Iteration 152 completed in 0.0760 second
Iteration 153 completed in 0.0769 second
Iteration 154 completed in 0.0776 second
Iteration 155 completed in 0.0755 second
Iteration 156 completed in 0.0773 second
Iteration 157 completed in 0.0808 second
Iteration 158 completed in 0.0770 second
Iteration 159 completed in 0.0772 second
Iteration 160 completed in 0.0763 second
Iteration 161 completed in 0.0761 second
Iteration 162 completed in 0.0784 second
Iteration 163 completed in 0.0814 second
Iteration 164 completed in 0.0791 second
Iteration 165 completed in 0.0788 second
Iteration 166 completed in 0.0785 second
Iteration 167 completed in 0.0777 second
Iteration 168 completed in 0.0776 second
Iteration 169 completed in 0.0832 second
Iteration 170 completed in 0.0891 second
Iteration 171 completed in 0.0823 second
Iteration 172 completed in 0.0853 second
Iteration 173 completed in 0.0823 second
Iteration 174 completed in 0.0839 second
Iteration 175 completed in 0.0828 second
Iteration 176 completed in 0.0816 second
Iteration 177 completed in 0.0844 second
Iteration 178 completed in 0.0826 second
Iteration 179 completed in 0.0847 second
Iteration 180 completed in 0.0834 second
Iteration 181 completed in 0.0825 second
Iteration 182 completed in 0.0800 second
Iteration 183 completed in 0.0836 second
Iteration 184 completed in 0.0839 second
Iteration 185 completed in 0.0829 second
Iteration 186 completed in 0.0828 second
Iteration 187 completed in 0.0821 second
Iteration 188 completed in 0.0830 second
Iteration 189 completed in 0.0820 second
Iteration 190 completed in 0.0821 second
Iteration 191 completed in 0.0846 second
Iteration 192 completed in 0.0846 second
Iteration 193 completed in 0.0853 second
Iteration 194 completed in 0.0834 second
Iteration 195 completed in 0.0856 second
Iteration 196 completed in 0.0846 second
Iteration 197 completed in 0.0827 second
Iteration 198 completed in 0.0813 second
Iteration 199 completed in 0.0820 second
Step [200/5388], Loss: 1.5452, Acc : 55.23
Iteration 200 completed in 0.0831 second
Iteration 201 completed in 0.0849 second
Iteration 202 completed in 0.0843 second
Iteration 203 completed in 0.0856 second
Iteration 204 completed in 0.0844 second
Iteration 205 completed in 0.0857 second
Iteration 206 completed in 0.0822 second
Iteration 207 completed in 0.0832 second
Iteration 208 completed in 0.0842 second
Iteration 209 completed in 0.0846 second
Iteration 210 completed in 0.0873 second
Iteration 211 completed in 0.0843 second
Iteration 212 completed in 0.0821 second
Iteration 213 completed in 0.0835 second
Iteration 214 completed in 0.0850 second
Iteration 215 completed in 0.0836 second
Iteration 216 completed in 0.0863 second
Iteration 217 completed in 0.0849 second
Iteration 218 completed in 0.0811 second
Iteration 219 completed in 0.0824 second
Iteration 220 completed in 0.0853 second
Iteration 221 completed in 0.0893 second
Iteration 222 completed in 0.0822 second
Iteration 223 completed in 0.0847 second
Iteration 224 completed in 0.0831 second
Iteration 225 completed in 0.0853 second
Iteration 226 completed in 0.0829 second
Iteration 227 completed in 0.0838 second
Iteration 228 completed in 0.0830 second
Iteration 229 completed in 0.0853 second
Iteration 230 completed in 0.0826 second
Iteration 231 completed in 0.0808 second
Iteration 232 completed in 0.0808 second
Iteration 233 completed in 0.0825 second
Iteration 234 completed in 0.0849 second
Iteration 235 completed in 0.0925 second
Iteration 236 completed in 0.0788 second
Iteration 237 completed in 0.0793 second
Iteration 238 completed in 0.0802 second
Iteration 239 completed in 0.0788 second
Iteration 240 completed in 0.0785 second
Iteration 241 completed in 0.0785 second
Iteration 242 completed in 0.0776 second
Iteration 243 completed in 0.0783 second
Iteration 244 completed in 0.0781 second
Iteration 245 completed in 0.0875 second
Iteration 246 completed in 0.0795 second
Iteration 247 completed in 0.0793 second
Iteration 248 completed in 0.0796 second
Iteration 249 completed in 0.0835 second
Iteration 250 completed in 0.0809 second
Iteration 251 completed in 0.0773 second
Iteration 252 completed in 0.0781 second
Iteration 253 completed in 0.0781 second
Iteration 254 completed in 0.0810 second
Iteration 255 completed in 0.0923 second
Iteration 256 completed in 0.0848 second
Iteration 257 completed in 0.0776 second
Iteration 258 completed in 0.0771 second
Iteration 259 completed in 0.0779 second
Iteration 260 completed in 0.0757 second
Iteration 261 completed in 0.0770 second
Iteration 262 completed in 0.0753 second
Iteration 263 completed in 0.0759 second
Iteration 264 completed in 0.0764 second
Iteration 265 completed in 0.0860 second
Iteration 266 completed in 0.0783 second
Iteration 267 completed in 0.0767 second
Iteration 268 completed in 0.0762 second
Iteration 269 completed in 0.0765 second
Iteration 270 completed in 0.0776 second
Iteration 271 completed in 0.0782 second
Iteration 272 completed in 0.0807 second
Iteration 273 completed in 0.0765 second
Iteration 274 completed in 0.0758 second
Iteration 275 completed in 0.0852 second
Iteration 276 completed in 0.0753 second
Iteration 277 completed in 0.0778 second
Iteration 278 completed in 0.0757 second
Iteration 279 completed in 0.0761 second
Iteration 280 completed in 0.0762 second
Iteration 281 completed in 0.0781 second
Iteration 282 completed in 0.0759 second
Iteration 283 completed in 0.0765 second
Iteration 284 completed in 0.0764 second
Iteration 285 completed in 0.0862 second
Iteration 286 completed in 0.0756 second
Iteration 287 completed in 0.0754 second
Iteration 288 completed in 0.0757 second
Iteration 289 completed in 0.0761 second
Iteration 290 completed in 0.0764 second
Iteration 291 completed in 0.0763 second
Iteration 292 completed in 0.0764 second
Iteration 293 completed in 0.0758 second
Iteration 294 completed in 0.0761 second
Iteration 295 completed in 0.0862 second
Iteration 296 completed in 0.0752 second
Iteration 297 completed in 0.0767 second
Iteration 298 completed in 0.0766 second
Iteration 299 completed in 0.0758 second
Step [300/5388], Loss: 1.1717, Acc : 65.85
Iteration 300 completed in 0.0766 second
Iteration 301 completed in 0.0771 second
Iteration 302 completed in 0.0759 second
Iteration 303 completed in 0.0764 second
Iteration 304 completed in 0.0772 second
Iteration 305 completed in 0.0862 second
Iteration 306 completed in 0.0760 second
Iteration 307 completed in 0.0762 second
Iteration 308 completed in 0.0767 second
Iteration 309 completed in 0.0773 second
Iteration 310 completed in 0.0767 second
Iteration 311 completed in 0.0793 second
Iteration 312 completed in 0.0784 second
Iteration 313 completed in 0.0810 second
Iteration 314 completed in 0.3665 second
Iteration 315 completed in 0.0876 second
Iteration 316 completed in 0.0775 second
Iteration 317 completed in 0.0811 second
Iteration 318 completed in 0.0776 second
Iteration 319 completed in 0.0801 second
Iteration 320 completed in 0.0785 second
Iteration 321 completed in 0.0788 second
Iteration 322 completed in 0.0799 second
Iteration 323 completed in 0.0805 second
Iteration 324 completed in 0.0804 second
Iteration 325 completed in 0.0870 second
Iteration 326 completed in 0.0784 second
Iteration 327 completed in 0.0768 second
