
Train 86203, Val 11380, Test 12509
TOTAL TRAINABLE PARAMETERS : 97319
RATIOS: Temporal  88.5% , Classifier  11.5%
EPOCH 1/2
Step [100/86203], Loss: 1.4580, Acc : 59.13
Step [200/86203], Loss: 1.0337, Acc : 69.75
Step [300/86203], Loss: 0.8392, Acc : 74.57
Step [400/86203], Loss: 0.7288, Acc : 77.27
Step [500/86203], Loss: 0.6558, Acc : 79.02
Step [600/86203], Loss: 0.6039, Acc : 80.28
Step [700/86203], Loss: 0.5637, Acc : 81.29
Step [800/86203], Loss: 0.5331, Acc : 82.00
Step [900/86203], Loss: 0.5090, Acc : 82.60
Step [1000/86203], Loss: 0.4881, Acc : 83.09
Step [1100/86203], Loss: 0.4700, Acc : 83.54
Step [1200/86203], Loss: 0.4546, Acc : 83.94
Step [1300/86203], Loss: 0.4414, Acc : 84.29
Step [1400/86203], Loss: 0.4299, Acc : 84.57
Step [1500/86203], Loss: 0.4190, Acc : 84.86
Step [1600/86203], Loss: 0.4100, Acc : 85.09
Step [1700/86203], Loss: 0.4011, Acc : 85.34
Step [1800/86203], Loss: 0.3937, Acc : 85.51
Step [1900/86203], Loss: 0.3869, Acc : 85.67
Step [2000/86203], Loss: 0.3800, Acc : 85.85
Step [2100/86203], Loss: 0.3733, Acc : 86.03
Step [2200/86203], Loss: 0.3671, Acc : 86.20
Step [2300/86203], Loss: 0.3617, Acc : 86.35
Step [2400/86203], Loss: 0.3570, Acc : 86.49
Step [2500/86203], Loss: 0.3521, Acc : 86.61
Step [2600/86203], Loss: 0.3476, Acc : 86.74
Step [2700/86203], Loss: 0.3435, Acc : 86.86
Step [2800/86203], Loss: 0.3400, Acc : 86.95
Step [2900/86203], Loss: 0.3362, Acc : 87.07
Step [3000/86203], Loss: 0.3326, Acc : 87.18
Step [3100/86203], Loss: 0.3296, Acc : 87.27
Step [3200/86203], Loss: 0.3266, Acc : 87.35
Step [3300/86203], Loss: 0.3235, Acc : 87.45
Step [3400/86203], Loss: 0.3208, Acc : 87.52
Step [3500/86203], Loss: 0.3180, Acc : 87.60
Step [3600/86203], Loss: 0.3153, Acc : 87.68
Step [3700/86203], Loss: 0.3128, Acc : 87.75
Step [3800/86203], Loss: 0.3102, Acc : 87.82
Step [3900/86203], Loss: 0.3078, Acc : 87.90
Step [4000/86203], Loss: 0.3058, Acc : 87.95
Step [4100/86203], Loss: 0.3038, Acc : 88.01
Step [4200/86203], Loss: 0.3019, Acc : 88.06
Step [4300/86203], Loss: 0.2999, Acc : 88.12
Step [4400/86203], Loss: 0.2980, Acc : 88.18
Step [4500/86203], Loss: 0.2962, Acc : 88.23
Step [4600/86203], Loss: 0.2946, Acc : 88.27
Step [4700/86203], Loss: 0.2927, Acc : 88.33
Step [4800/86203], Loss: 0.2908, Acc : 88.38
Step [4900/86203], Loss: 0.2892, Acc : 88.43
Step [5000/86203], Loss: 0.2877, Acc : 88.48
Step [5100/86203], Loss: 0.2863, Acc : 88.52
Step [5200/86203], Loss: 0.2848, Acc : 88.56
Step [5300/86203], Loss: 0.2833, Acc : 88.61
